epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
0.1,20,True,100,0,100,50,150.016695039641,0,0,True
0.1,20,True,150,0,150,50,224.77615698408854,0,0,True
0.1,20,False,60,0,60,50,89.96217917046418,0,0,True
0.1,20,False,100,0,100,50,150.016695039641,0,0,True
0.1,20,False,150,0,150,50,224.77615698408854,0,0,True
0.1,25,True,60,0,60,50,89.96217917046418,0,0,True
0.1,25,True,100,0,100,50,150.01527835233418,0,0,True
0.1,25,True,150,0,150,50,224.7277872123568,0,0,True
0.1,25,False,60,0,60,50,89.96217917046418,0,0,True
0.1,25,False,100,0,100,50,150.01527835233418,0,0,True
0.1,25,False,150,0,150,50,224.7277872123568,0,0,True
0.1,30,True,60,0,60,50,89.96217917046418,0,0,True
0.1,30,True,100,0,100,50,150.0151250936992,0,0,True
0.1,30,True,150,0,150,50,224.6880593677476,0,0,True
0.1,30,False,60,0,60,50,89.96217917046418,0,0,True
0.1,30,False,100,0,100,50,150.0151250936992,0,0,True
0.1,30,False,150,0,150,50,224.6880593677476,0,0,True
0.2,1,True,60,0,60,50,89.96467167192296,0,0,True
0.2,1,True,100,0,100,50,150.12396689045264,0,0,True
0.2,1,True,150,0,150,50,225.1362493255213,0,0,True
0.2,1,False,60,0,60,50,89.96467167192296,0,0,True
0.2,1,False,100,0,100,50,150.12396689045264,0,0,True
0.2,1,False,150,0,150,50,225.1362493255213,0,0,True
0.2,5,True,60,0,60,50,89.96467167192296,0,0,True
0.2,5,True,100,0,100,50,150.12396689045264,0,0,True
0.2,5,True,150,0,150,50,225.1362493255213,0,0,True
0.2,5,False,60,0,60,50,89.96467167192296,0,0,True
0.2,5,False,100,0,100,50,150.12396689045264,0,0,True
0.2,5,False,150,0,150,50,225.1362493255213,0,0,True
0.2,10,True,60,0,60,50,89.96467167192296,0,0,True
0.2,10,True,100,0,100,50,150.12396689045264,0,0,True
0.2,10,True,150,0,150,50,225.1362493255213,0,0,True
0.2,10,False,60,0,60,50,89.96467167192296,0,0,True
0.2,10,False,100,0,100,50,150.12396689045264,0,0,True
0.2,10,False,150,0,150,50,225.1362493255213,0,0,True
0.2,20,True,60,0,60,50,89.96217917046418,0,0,True
0.2,20,True,100,0,100,50,150.12396689045264,0,0,True
0.2,20,True,150,0,150,50,225.1362493255213,0,0,True
0.2,20,False,60,0,60,50,89.96217917046418,0,0,True
0.2,20,False,100,0,100,50,150.12396689045264,0,0,True
0.2,20,False,150,0,150,50,225.1362493255213,0,0,True
0.2,25,True,60,0,60,50,89.96217917046418,0,0,True
0.2,25,True,100,0,100,50,150.05186334317727,0,0,True
0.2,25,True,150,0,150,50,225.1362493255213,0,0,True
0.2,25,False,60,0,60,50,89.96217917046418,0,0,True
0.2,25,False,100,0,100,50,150.05186334317727,0,0,True
0.2,25,False,150,0,150,50,225.1362493255213,0,0,True
0.2,30,True,60,0,60,50,89.96217917046418,0,0,True
0.2,30,True,100,0,100,50,150.0260843773279,0,0,True
0.2,30,True,150,0,150,50,225.1362493255213,0,0,True
0.2,30,False,60,0,60,50,89.96217917046418,0,0,True
0.2,30,False,100,0,100,50,150.0260843773279,0,0,True
0.2,30,False,150,0,150,50,225.1362493255213,0,0,True
0.25,1,True,60,0,60,50,89.96553616250684,0,0,True
0.25,1,True,100,0,100,50,150.15240492664444,0,0,True
0.25,1,True,150,0,150,50,225.58966590673882,0,0,True
0.25,1,False,60,0,60,50,89.96553616250684,0,0,True
0.25,1,False,100,0,100,50,150.15240492664444,0,0,True
0.25,1,False,150,0,150,50,225.58966590673882,0,0,True
0.25,5,True,60,0,60,50,89.96553616250684,0,0,True
0.25,5,True,100,0,100,50,150.15240492664444,0,0,True
0.25,5,True,150,0,150,50,225.58966590673882,0,0,True
0.25,5,False,60,0,60,50,89.96553616250684,0,0,True
0.25,5,False,100,0,100,50,150.15240492664444,0,0,True
0.25,5,False,150,0,150,50,225.58966590673882,0,0,True
0.25,10,True,60,0,60,50,89.96553616250684,0,0,True
0.25,10,True,100,0,100,50,150.15240492664444,0,0,True
0.25,10,True,150,0,150,50,225.58966590673882,0,0,True
0.25,10,False,60,0,60,50,89.96553616250684,0,0,True
0.25,10,False,100,0,100,50,150.15240492664444,0,0,True
0.25,10,False,150,0,150,50,225.58966590673882,0,0,True
0.25,20,True,60,0,60,50,89.96217917046418,0,0,True
0.25,20,True,100,0,100,50,150.15240492664444,0,0,True
0.25,20,True,150,0,150,50,225.58966590673882,0,0,True
0.25,20,False,60,0,60,50,89.96217917046418,0,0,True
