family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
graph,dense,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0027577923446105,0.0008007454278521934,0.0,0.2757792344610488,0.08007454278521935,dense
graph,dense,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.0106167657262943,0.000814215770301218,0.0,1.061676572629433,0.0814215770301218,dense
graph,dense,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0039216503250499,0.0008178749152267597,0.0,0.39216503250498747,0.08178749152267598,dense
graph,dense,off50_on50,MILP+CostAwareBestFit,50,0,50,1.0031646671479435,0.0010025288691112375,0.0,0.31646671479435007,0.10025288691112376,dense
graph,dense,off50_on50,MILP+DynamicLearning,50,0,50,1.0095061785808868,0.0008162414894784116,0.0,0.9506178580886759,0.08162414894784116,dense
graph,dense,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0014189326100533,0.0008708738108574683,0.0,0.1418932610053325,0.08708738108574683,dense
graph,dense,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,1.009805233606962,0.0007750608120621434,0.0,0.980523360696206,0.07750608120621434,dense
graph,dense,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.002332148970617,0.0008789829767400809,0.0,0.2332148970616954,0.08789829767400809,dense
graph,sparse,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0882025417701426,0.006852019836096379,0.0,8.820254177014263,0.6852019836096379,sparse
graph,sparse,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.074068236198062,0.005176002785018844,0.0,7.406823619806202,0.5176002785018844,sparse
graph,sparse,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0878576601426835,0.007185636999568003,0.0,8.785766014268347,0.7185636999568003,sparse
graph,sparse,off50_on50,MILP+CostAwareBestFit,50,0,50,1.109852807310767,0.00868268435854208,0.0,10.985280731076696,0.8682684358542079,sparse
graph,sparse,off50_on50,MILP+DynamicLearning,50,0,50,1.0785739782327213,0.005677375624106094,0.0,7.8573978232721275,0.5677375624106095,sparse
graph,sparse,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0644149191383192,0.006246916536069485,0.0,6.44149191383192,0.6246916536069484,sparse
graph,sparse,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,1.0737014575953012,0.004830297636962918,0.0,7.370145759530122,0.4830297636962918,sparse
graph,sparse,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.0745714332409364,0.0067658500121338255,0.0,7.45714332409364,0.6765850012133825,sparse
