epsilon,min_phase_len,use_offline_slack,horizons,horizon_count,valid_horizon_count,total_objective_mean,valid
0.01,1,True,"[60, 100, 150]",3,3,18054.892255580602,True
0.01,1,False,"[60, 100, 150]",3,3,18054.892255580602,True
0.01,2,True,"[60, 100, 150]",3,3,18053.04063235901,True
0.01,2,False,"[60, 100, 150]",3,3,18053.04063235901,True
0.01,5,True,"[60, 100, 150]",3,3,18039.183997583474,True
0.01,5,False,"[60, 100, 150]",3,3,18039.183997583474,True
0.01,10,True,"[60, 100, 150]",3,3,18034.63747690602,True
0.01,10,False,"[60, 100, 150]",3,3,18034.63747690602,True
0.01,15,True,"[60, 100, 150]",3,3,18033.309300512,True
0.01,15,False,"[60, 100, 150]",3,3,18033.309300512,True
0.01,20,True,"[60, 100, 150]",3,3,18031.65794278334,True
0.01,20,False,"[60, 100, 150]",3,3,18031.65794278334,True
0.05,1,True,"[60, 100, 150]",3,3,18044.661017024166,True
0.05,1,False,"[60, 100, 150]",3,3,18044.661017024166,True
0.05,2,True,"[60, 100, 150]",3,3,18044.661017024166,True
0.05,2,False,"[60, 100, 150]",3,3,18044.661017024166,True
0.05,5,True,"[60, 100, 150]",3,3,18044.505359348863,True
0.05,5,False,"[60, 100, 150]",3,3,18044.505359348863,True
0.05,10,True,"[60, 100, 150]",3,3,18041.829626136907,True
0.05,10,False,"[60, 100, 150]",3,3,18041.829626136907,True
0.05,15,True,"[60, 100, 150]",3,3,18036.39320465758,True
0.05,15,False,"[60, 100, 150]",3,3,18036.39320465758,True
0.05,20,True,"[60, 100, 150]",3,3,18033.25295528819,True
0.05,20,False,"[60, 100, 150]",3,3,18033.25295528819,True
0.1,1,True,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,1,False,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,2,True,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,2,False,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,5,True,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,5,False,"[60, 100, 150]",3,3,18043.343908958002,True
0.1,10,True,"[60, 100, 150]",3,3,18043.305815104584,True
0.1,10,False,"[60, 100, 150]",3,3,18043.305815104584,True
0.1,15,True,"[60, 100, 150]",3,3,18042.519705098737,True
0.1,15,False,"[60, 100, 150]",3,3,18042.519705098737,True
0.1,20,True,"[60, 100, 150]",3,3,18038.60793393508,True
0.1,20,False,"[60, 100, 150]",3,3,18038.60793393508,True
0.2,1,True,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,1,False,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,2,True,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,2,False,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,5,True,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,5,False,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,10,True,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,10,False,"[60, 100, 150]",3,3,18060.23812939628,True
0.2,15,True,"[60, 100, 150]",3,3,18060.2093040378,True
0.2,15,False,"[60, 100, 150]",3,3,18060.2093040378,True
0.2,20,True,"[60, 100, 150]",3,3,18060.188279367103,True
0.2,20,False,"[60, 100, 150]",3,3,18060.188279367103,True
0.25,1,True,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,1,False,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,2,True,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,2,False,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,5,True,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,5,False,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,10,True,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,10,False,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,15,True,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,15,False,"[60, 100, 150]",3,3,18083.87418280856,True
0.25,20,True,"[60, 100, 150]",3,3,18083.807042967706,True
0.25,20,False,"[60, 100, 150]",3,3,18083.807042967706,True
0.3,1,True,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,1,False,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,2,True,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,2,False,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,5,True,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,5,False,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,10,True,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,10,False,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,15,True,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,15,False,"[60, 100, 150]",3,3,18130.954869734607,True
0.3,20,True,"[60, 100, 150]",3,3,18130.882906004405,True
0.3,20,False,"[60, 100, 150]",3,3,18130.882906004405,True
