epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.01,1,True,60,0,60,50,89.98656407402042,5399.193844441225,0,0,True
0.01,1,True,100,0,100,50,150.15165069020367,15015.165069020366,0,0,True
0.01,1,True,150,0,150,50,225.00211902186808,33750.31785328021,0,0,True
0.01,1,False,60,0,60,50,89.98656407402042,5399.193844441225,0,0,True
0.01,1,False,100,0,100,50,150.15165069020367,15015.165069020366,0,0,True
0.01,1,False,150,0,150,50,225.00211902186808,33750.31785328021,0,0,True
0.01,2,True,60,0,60,50,89.96629020978628,5397.977412587177,0,0,True
0.01,2,True,100,0,100,50,150.1082663120964,15010.826631209638,0,0,True
0.01,2,True,150,0,150,50,225.00211902186808,33750.31785328021,0,0,True
0.01,2,False,60,0,60,50,89.96629020978628,5397.977412587177,0,0,True
0.01,2,False,100,0,100,50,150.1082663120964,15010.826631209638,0,0,True
0.01,2,False,150,0,150,50,225.00211902186808,33750.31785328021,0,0,True
0.01,5,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,5,True,100,0,100,50,150.04084479334742,15004.084479334742,0,0,True
0.01,5,True,150,0,150,50,224.7715784212522,33715.73676318783,0,0,True
0.01,5,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,5,False,100,0,100,50,150.04084479334742,15004.084479334742,0,0,True
0.01,5,False,150,0,150,50,224.7715784212522,33715.73676318783,0,0,True
0.01,10,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,10,True,100,0,100,50,150.01982892148965,15001.982892148964,0,0,True
0.01,10,True,150,0,150,50,224.69465858894165,33704.198788341244,0,0,True
0.01,10,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,10,False,100,0,100,50,150.01982892148965,15001.982892148964,0,0,True
0.01,10,False,150,0,150,50,224.69465858894165,33704.198788341244,0,0,True
0.01,15,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,15,True,100,0,100,50,150.0169194133684,15001.691941336841,0,0,True
0.01,15,True,150,0,150,50,224.67003473314202,33700.5052099713,0,0,True
0.01,15,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.01,15,False,100,0,100,50,150.0169194133684,15001.691941336841,0,0,True
0.01,15,False,150,0,150,50,224.67003473314202,33700.5052099713,0,0,True
0.01,20,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
