pipeline,update_rule,price_exponent,exp_rate,vector_prices,offline_ratio,total_horizon,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
util+sim_dual,polynomial,0.005,,True,0.8,300,60,50,422.41694246230395,0,8,True
util+cost_best_fit,polynomial,0.005,,True,0.8,300,60,50,422.5576537793743,0,13,False
util+sim_dual,polynomial,0.01,,True,0.8,300,60,50,422.4137609282817,0,8,True
util+cost_best_fit,polynomial,0.01,,True,0.8,300,60,50,422.54564666994366,0,13,False
util+sim_dual,polynomial,0.05,,True,0.8,300,60,50,422.32133625851054,0,8,True
util+cost_best_fit,polynomial,0.05,,True,0.8,300,60,50,422.4645297816709,0,13,False
util+sim_dual,polynomial,0.1,,True,0.8,300,60,50,422.4284608928987,0,9,True
util+cost_best_fit,polynomial,0.1,,True,0.8,300,60,50,422.39908439892514,0,13,False
util+sim_dual,polynomial,0.25,,True,0.8,300,60,50,422.0663721700814,0,9,True
util+cost_best_fit,polynomial,0.25,,True,0.8,300,60,50,422.2080507899833,0,13,False
util+sim_dual,polynomial,0.5,,True,0.8,300,60,50,421.9917377360512,0,8,True
util+cost_best_fit,polynomial,0.5,,True,0.8,300,60,50,422.4361269242694,0,12,False
util+sim_dual,polynomial,1.0,,True,0.8,300,60,50,422.01327237798193,0,10,True
util+cost_best_fit,polynomial,1.0,,True,0.8,300,60,50,422.23205149009016,0,14,False
util+sim_dual,polynomial,1.5,,True,0.8,300,60,50,421.7151408234306,0,8,True
util+cost_best_fit,polynomial,1.5,,True,0.8,300,60,50,422.0705103111544,0,13,False
util+sim_dual,polynomial,2.0,,True,0.8,300,60,50,421.88111338520076,0,7,True
util+cost_best_fit,polynomial,2.0,,True,0.8,300,60,50,422.2406959394005,0,12,False
util+sim_dual,polynomial,3.0,,True,0.8,300,60,50,421.9657630102225,0,7,True
util+cost_best_fit,polynomial,3.0,,True,0.8,300,60,50,422.35672034406963,0,12,False
util+sim_dual,polynomial,4.0,,True,0.8,300,60,50,421.9152159606833,0,8,True
util+cost_best_fit,polynomial,4.0,,True,0.8,300,60,50,422.2902719679366,0,12,False
util+sim_dual,polynomial,6.0,,True,0.8,300,60,50,421.89223643662785,0,7,True
util+cost_best_fit,polynomial,6.0,,True,0.8,300,60,50,422.3973639193019,0,13,False
util+sim_dual,exponential,,0.5,True,0.8,300,60,50,421.78217828714764,0,8,True
util+cost_best_fit,exponential,,0.5,True,0.8,300,60,50,422.13568764295457,0,12,False
util+sim_dual,exponential,,1.0,True,0.8,300,60,50,422.1536315409139,0,8,True
util+cost_best_fit,exponential,,1.0,True,0.8,300,60,50,422.2370930046803,0,10,True
util+sim_dual,exponential,,1.5,True,0.8,300,60,50,421.06668323557244,0,6,True
util+cost_best_fit,exponential,,1.5,True,0.8,300,60,50,421.4864424086152,0,7,True
util+sim_dual,exponential,,2.0,True,0.8,300,60,50,420.5967414787553,0,8,True
util+cost_best_fit,exponential,,2.0,True,0.8,300,60,50,421.2812378967074,0,9,True
util+sim_dual,exponential,,3.0,True,0.8,300,60,50,420.7723081495941,0,4,True
util+cost_best_fit,exponential,,3.0,True,0.8,300,60,50,420.8472136520346,0,3,True
util+sim_dual,exponential,,4.0,True,0.8,300,60,50,422.0102093264327,0,1,True
util+cost_best_fit,exponential,,4.0,True,0.8,300,60,50,422.0106575360955,0,1,True
util+sim_dual,exponential,,5.0,True,0.8,300,60,50,424.2220553566822,0,2,True
util+cost_best_fit,exponential,,5.0,True,0.8,300,60,50,424.22391533399235,0,2,True
util+sim_dual,exponential,,6.0,True,0.8,300,60,50,428.2519010160938,0,3,True
util+cost_best_fit,exponential,,6.0,True,0.8,300,60,50,428.26728850729046,0,3,True
